title,text,subject,date,label,combined
,,,,TRUE,
,,,,TRUE,
worldnews,"""November 13"," 2017 """,,TRUE,worldnews november 
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
" 2017 """,,,,TRUE, 
" 2017""",left-news,"""Jul 28"," 2017""",FALSE, leftnews
" 2017""",,,,TRUE,
,,,,TRUE,
"â¬ Davis said. The Pentagon said Mattis also spoke with his counterparts from Britain and Canada.  """,politicsNews,"""January 23"," 2017 """,TRUE, davis said the pentagon said mattis also spoke with his counterparts from britain and canada   politicsnews
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
" they say. Egypt hopes a recent agreement it helped broker between Palestine rivals factions Hamas and Fatah to allow a unity government to control the Gaza border will help stem arms smuggling by tightening control on the crossing and tunnels into Egyptian territory. Friday s attack was a shift for Sinai militants who have mostly focused on targeting police and soldiers on the peninsula. But since December 2016 they have begun hitting Coptic Christian churches and pilgrims on the mainland. """,worldnews,"""November 29"," 2017 """,TRUE,they say egypt hopes a recent agreement it helped broker between palestine rivals factions hamas and fatah to allow a unity government to control the gaza border will help stem arms smuggling by tightening control on the crossing and tunnels into egyptian territory friday s attack was a shift for sinai militants who have mostly focused on targeting police and soldiers on the peninsula but since december  they have begun hitting coptic christian churches and pilgrims on the mainland  worldnews
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
"""Feb 20"," 2017""",,,TRUE,feb   
" 2017 """,,,,TRUE, 
politics,"""Apr 11"," 2017""",,FALSE,politics apr 
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
" the United States and European Union. The collapse of a peace process between the state and the PKK brought an end to a ceasefire in July 2015 and thousands have been killed in renewed fighting since then across mainly Kurdish southeast Turkey. """,worldnews,"""October 4"," 2017 """,TRUE,the united states and european union the collapse of a peace process between the state and the pkk brought an end to a ceasefire in july  and thousands have been killed in renewed fighting since then across mainly kurdish southeast turkey  worldnews
"""September 22"," 2017 """,,,TRUE,september    
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
" put the kids to bed and get your favorite snuggy out so you can drop deep into the Boiler Room with the ACR brain-trust.Please like and share the program and visit our donate page to get involved!Listen to  Boiler Room   EP #92   The (Hollywood) Hills Have Eyes  on Spreaker.Reference Links:""",US_News,"""January 13"," 2017""",TRUE,put the kids to bed and get your favorite snuggy out so you can drop deep into the boiler room with the acr braintrustplease like and share the program and visit our donate page to get involvedlisten to  boiler room   ep    the hollywood hills have eyes  on spreakerreference links usnews
,,,,TRUE,
"""May 17"," 2017""",,,TRUE,may   
" 2017 """,,,,TRUE, 
politicsNews,"""January 16"," 2017 """,,TRUE,politicsnews january 
,,,,TRUE,
"""Feb 4"," 2017""",,,TRUE,feb   
"""April 10"," 2017 """,,,TRUE,april    
worldnews,"""November 16"," 2017 """,,TRUE,worldnews november 
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
"""Mar 9"," 2017""",,,TRUE,mar   
,,,,TRUE,
,,,,TRUE,
" Japan and India. """,worldnews,"""September 6"," 2017 """,TRUE,japan and india  worldnews
"""September 27"," 2017 """,,,TRUE,september    
worldnews,"""November 9"," 2017 """,,TRUE,worldnews november 
,,,,TRUE,
"""August 28"," 2017 """,,,TRUE,august    
politics,"""Jul 15"," 2017""",,FALSE,politics jul 
"â¬ he said.  """,politicsNews,"""March 22"," 2017 """,TRUE, he said   politicsnews
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
" 2017 """,,,,TRUE, 
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
" 2017 """,,,,TRUE, 
,,,,TRUE,
" 2017 """,,,,TRUE, 
,,,,TRUE,
,,,,TRUE,
worldnews,"""September 12"," 2017 """,,TRUE,worldnews september 
,,,,TRUE,
" which says that the president shall appoint judges and other officials  by and with the advice and consent of the Senate    not by and with a supermajority of the Senate.  The Times went on to call it  a victory not just for the Democrats but for good government.  Newsbusters""",left-news,"""Apr 4"," 2017""",FALSE,which says that the president shall appoint judges and other officials  by and with the advice and consent of the senate    not by and with a supermajority of the senate  the times went on to call it  a victory not just for the democrats but for good government  newsbusters leftnews
worldnews,"""September 11"," 2017 """,,TRUE,worldnews september 
,,,,TRUE,
" 2017""",,,,TRUE,
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
" 2017 """,,,,TRUE, 
politicsNews,"""July 3"," 2017 """,,TRUE,politicsnews july 
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
" who the ministry also declined to name when contacted by Reuters. Authorities at the mosque were not immediately available for comment. The Salafist movement - which is strongly influenced by Saudi Arabia s Wahhabi school of Islam - sees many other branches of the faith as heretical has been linked to militant groups such as Islamic State. A judge will decide in the coming weeks on the imam s appeal. """,worldnews,"""October 3"," 2017 """,TRUE,who the ministry also declined to name when contacted by reuters authorities at the mosque were not immediately available for comment the salafist movement  which is strongly influenced by saudi arabia s wahhabi school of islam  sees many other branches of the faith as heretical has been linked to militant groups such as islamic state a judge will decide in the coming weeks on the imam s appeal  worldnews
,,,,TRUE,
" the Journal said. The Senate probe took on added significance after Trump dismissed FBI Director James Comey earlier this week amid an agency investigation into alleged Russian meddling in the 2016 U.S. presidential election and possible Moscow ties to the Trump presidential campaign. The House of Representatives intelligence panel is conducting a similar probe.        """,politicsNews,"""May 12"," 2017 """,TRUE,the journal said the senate probe took on added significance after trump dismissed fbi director james comey earlier this week amid an agency investigation into alleged russian meddling in the  us presidential election and possible moscow ties to the trump presidential campaign the house of representatives intelligence panel is conducting a similar probe         politicsnews
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
"  bureau spokeswoman Carol Cratty wrote The Hill.The note was contained in more than 70 pages of emails the FBI released on its public records site known as The Vault.The emails chronicled McCabe s efforts to address a separate controversy involving his wife s 2015 campaign for political office.McCabe s references to a  special  status for the Clinton probe are likely to be used as ammunition by Republican lawmakers critical of former FBI Director James Comey s handling of the Clinton investigation.Remember that the DOJ s Loretta Lynch also wanted Clinton s case to be called an  incident  and not an investigation. It looks like all intel agencies were doing all they could to protect Clinton. Was it to save themselves from exposure in the Uranium One case or something else?""",politics,"""Nov 22"," 2017""",TRUE,bureau spokeswoman carol cratty wrote the hillthe note was contained in more than  pages of emails the fbi released on its public records site known as the vaultthe emails chronicled mccabe s efforts to address a separate controversy involving his wife s  campaign for political officemccabe s references to a  special  status for the clinton probe are likely to be used as ammunition by republican lawmakers critical of former fbi director james comey s handling of the clinton investigationremember that the doj s loretta lynch also wanted clinton s case to be called an  incident  and not an investigation it looks like all intel agencies were doing all they could to protect clinton was it to save themselves from exposure in the uranium one case or something else politics
" tune in and hang with the ACR Brain-Trust for this weeks boil downs and analysis and the usual gnashing of the teeth of the political animals in the social reject club. Listen to  Boiler Room EP #105   Quantum Swamp Chess  on Spreaker.Direct Download Episode #105Please like and share the program and visit our donate page to get involved!Reference Links:""",Middle-east,"""April 14"," 2017""",TRUE,tune in and hang with the acr braintrust for this weeks boil downs and analysis and the usual gnashing of the teeth of the political animals in the social reject club listen to  boiler room ep    quantum swamp chess  on spreakerdirect download episode please like and share the program and visit our donate page to get involvedreference links middleeast
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
worldnews,"""December 19"," 2017 """,,TRUE,worldnews december 
,,,,TRUE,
,,,,TRUE,
" but Amex customers like myself who currently use an American Express card can just as easily switch to VISA or MasterCard. The fees are generally less and both alternatives seem to be more widely accepted by businesses. Seems almost like a no-brainer """,politics,"""Jun 12"," 2017""",FALSE,but amex customers like myself who currently use an american express card can just as easily switch to visa or mastercard the fees are generally less and both alternatives seem to be more widely accepted by businesses seems almost like a nobrainer  politics
,,,,TRUE,
" 2017 """,,,,TRUE, 
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
" 2017 """,,,,TRUE, 
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
" 2017 """,,,,TRUE, 
,,,,TRUE,
,,,,TRUE,
"  Brantner said in a statement. She also called for protection of whistleblowers. """,worldnews,"""November 13"," 2017 """,TRUE,brantner said in a statement she also called for protection of whistleblowers  worldnews
,,,,TRUE,
"""May 26"," 2017""",,,TRUE,may   
"""September 18"," 2017 """,,,TRUE,september    
,,,,TRUE,
worldnews,"""September 29"," 2017 """,,TRUE,worldnews september 
,,,,TRUE,
"""March 16"," 2017 """,,,TRUE,march    
" 2017 """,,,,TRUE, 
" regularly killing local soldiers. """,worldnews,"""October 26"," 2017 """,TRUE,regularly killing local soldiers  worldnews
"""Jul 17"," 2017""",,,TRUE,jul   
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
"""Sep 26"," 2017""",,,TRUE,sep   
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
" we urge you report fairly and responsibly . """,worldnews,"""November 15"," 2017 """,TRUE,we urge you report fairly and responsibly   worldnews
politicsNews,"""February 2"," 2017 """,,TRUE,politicsnews february 
,,,,TRUE,
"""October 20"," 2017 """,,,TRUE,october    
,,,,TRUE,
" given the FBIâ¬""s traditionally independent status in the executive branch.â¬ """,politicsNews,"""June 7"," 2017 """,TRUE,given the fbis traditionally independent status in the executive branch  politicsnews
" 2017 """,,,,TRUE, 
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
"""September 3"," 2017 """,,,TRUE,september    
,,,,TRUE,
,,,,TRUE,
"  Childress said.  Anybody that works for me should respect the country we live in. So many people gave their lives for it. This is America. All drivers reportedly stood during the anthem prior to Sunday s race in New Hampshire.For entire story: Business Insider """,left-news,"""Sep 25"," 2017""",FALSE,childress said  anybody that works for me should respect the country we live in so many people gave their lives for it this is america all drivers reportedly stood during the anthem prior to sunday s race in new hampshirefor entire story business insider  leftnews
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
" but he backed off taking unilateral military action when the Assad regime did so in 2013. """,left-news,"""Apr 24"," 2017""",FALSE,but he backed off taking unilateral military action when the assad regime did so in   leftnews
,,,,TRUE,
" 2017 """,,,,TRUE, 
"""September 20"," 2017 """,,,TRUE,september    
,,,,TRUE,
" 2017 """,,,,TRUE, 
,,,,TRUE,
,,,,TRUE,
politicsNews,"""November 10"," 2017 """,,TRUE,politicsnews november 
,,,,TRUE,
,,,,TRUE,
politicsNews,"""July 12"," 2017 """,,TRUE,politicsnews july 
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
"""September 7"," 2017 """,,,TRUE,september    
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
"""November 21"," 2017 """,,,TRUE,november    
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
"""December 14"," 2017 """,,,TRUE,december    
,,,,TRUE,
,,,,TRUE,
" 2017 """,,,,TRUE, 
worldnews,"""September 10"," 2017 """,,TRUE,worldnews september 
,,,,TRUE,
,,,,TRUE,
politicsNews,"""April 8"," 2017 """,,TRUE,politicsnews april 
worldnews,"""September 26"," 2017 """,,TRUE,worldnews september 
,,,,TRUE,
,,,,TRUE,
"  Can you hear yourself? You re a college professor and you re against intellectual debate that s deliberately provocative. Watch the insane exchange here:""",left-news,"""Apr 27"," 2017""",FALSE,can you hear yourself you re a college professor and you re against intellectual debate that s deliberately provocative watch the insane exchange here leftnews
,,,,TRUE,
" 2017""",,,,TRUE,
,,,,TRUE,
,,,,TRUE,
"""November 10"," 2017 """,,,TRUE,november    
,,,,TRUE,
politicsNews,"""February 2"," 2017 """,,TRUE,politicsnews february 
" 2017 """,,,,TRUE, 
" 2017""",,,,TRUE,
Government News,"""Feb 18"," 2017""",,FALSE,government news feb 
,,,,TRUE,
" and  political decisionmakers expect immediate and valid information  from intelligence agencies. No comment was immediately available from the chancellery or the BND intelligence agency. ($1 = 0.8617 euros) """,worldnews,"""November 3"," 2017 """,TRUE,and  political decisionmakers expect immediate and valid information  from intelligence agencies no comment was immediately available from the chancellery or the bnd intelligence agency    euros  worldnews
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
worldnews,"""November 27"," 2017 """,,TRUE,worldnews november 
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
" 2017 """,,,,TRUE, 
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
" 2017 """,,,,TRUE, 
" that President Enrique Pena Nieto s government was not breaking diplomatic ties with North Korea. """,worldnews,"""September 7"," 2017 """,TRUE,that president enrique pena nieto s government was not breaking diplomatic ties with north korea  worldnews
,,,,TRUE,
" 2017 """,,,,TRUE, 
,,,,TRUE,
" the conservative New Democracy party.     """,worldnews,"""November 19"," 2017 """,TRUE,the conservative new democracy party      worldnews
"""January 23"," 2017 """,,,TRUE,january    
worldnews,"""September 18"," 2017 """,,TRUE,worldnews september 
,,,,TRUE,
" 2017 """,,,,TRUE, 
"  Childress said.  Anybody that works for me should respect the country we live in. So many people gave their lives for it. This is America. All drivers reportedly stood during the anthem prior to Sunday s race in New Hampshire.For entire story: Business Insider """,politics,"""Sep 25"," 2017""",FALSE,childress said  anybody that works for me should respect the country we live in so many people gave their lives for it this is america all drivers reportedly stood during the anthem prior to sunday s race in new hampshirefor entire story business insider  politics
,,,,TRUE,
,,,,TRUE,
"""March 24"," 2017 """,,,TRUE,march    
"""July 23"," 2017""",,,TRUE,july   
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
worldnews,"""September 7"," 2017 """,,TRUE,worldnews september 
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
" 2017 """,,,,TRUE, 
" the Admiral Kuznetsov.   """,worldnews,"""October 10"," 2017 """,TRUE,the admiral kuznetsov    worldnews
politics,"""Jun 3"," 2017""",,FALSE,politics jun 
,,,,TRUE,
" making it the first far-right party to enter the Bundestag in more than half a century and the third largest parliamentary bloc. """,worldnews,"""October 4"," 2017 """,TRUE,making it the first farright party to enter the bundestag in more than half a century and the third largest parliamentary bloc  worldnews
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
worldnews,"""October 21"," 2017 """,,TRUE,worldnews october 
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
"""December 8"," 2017 """,,,TRUE,december    
" we can say without any hesitation that this woman and all others who refuse to see the problem are seriously delusional and blinded by their hate.""",left-news,"""Jun 18"," 2017""",FALSE,we can say without any hesitation that this woman and all others who refuse to see the problem are seriously delusional and blinded by their hate leftnews
" 2017 """,,,,TRUE, 
"""December 9"," 2017 """,,,TRUE,december    
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
,,,,TRUE,
" 2017 """,,,,TRUE, 
,,,,TRUE,
,,,,TRUE,
politicsNews,"""March 22"," 2017 """,,TRUE,politicsnews march 
,,,,TRUE,
